win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
1,0,0,1,0,0,0,0,3.0,5.0,0.0,6.0,1.0,1.0,84.0,-13.0,-1002.0,0.4634146341463415,0.5,-2,0,1,0,0,0,0
0,0,0,0,0,1,0,3,1.0,5.0,5.0,1.0,2.0,0.0,121.0,15.0,-140.0,0.46987951807228917,1.0,1,0,1,0,0,0,0
0,2,0,0,1,0,0,1,4.0,1.0,1.0,5.0,2.0,4.0,116.0,13.0,-307.0,0.4642857142857143,0.5,-1,0,1,0,0,0,0
1,4,0,0,1,1,1,0,0.0,1.0,2.0,3.0,1.0,1.0,104.0,2.0,-199.0,0.4588235294117647,0.5,-2,0,1,0,0,0,0
0,1,0,1,0,1,0,2,2.0,2.0,5.0,3.0,3.0,1.0,85.0,3.0,-328.0,0.46511627906976744,0.5333333333333333,1,0,1,0,0,0,0
0,2,0,1,1,0,0,3,1.0,5.0,0.0,4.0,1.0,1.0,76.0,-11.0,-676.0,0.45977011494252873,0.5,-1,0,1,0,0,0,0
1,7,0,1,1,1,0,3,5.0,1.0,0.0,5.0,1.0,1.0,113.0,23.0,1940.0,0.45454545454545453,0.47058823529411764,-2,0,0,0,1,0,0
0,4,0,0,0,0,0,0,0.0,3.0,0.0,4.0,0.0,0.0,104.0,10.0,-557.0,0.4606741573033708,0.5,1,0,0,0,1,0,0
0,1,0,1,0,0,0,1,1.0,2.0,2.0,5.0,0.0,0.0,110.0,-22.0,-1318.0,0.45555555555555555,0.47368421052631576,-1,0,0,0,1,0,0
1,0,0,0,1,0,1,1,5.0,2.0,2.0,5.0,0.0,0.0,103.0,34.0,2221.0,0.45054945054945056,0.25,-2,0,0,0,1,0,0
0,1,0,1,0,1,1,3,1.0,2.0,0.0,3.0,0.0,1.0,107.0,-6.0,47.0,0.45652173913043476,0.4,1,0,0,0,1,0,0
0,0,0,1,0,1,1,3,1.0,1.0,0.0,4.0,0.0,1.0,97.0,-7.0,-266.0,0.45161290322580644,0.3333333333333333,-1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0.0,1.0,0.0,7.0,0.0,3.0,94.0,-20.0,-638.0,0.44680851063829785,0.2857142857142857,-2,0,0,0,1,0,0
1,4,0,0,1,0,1,3,3.0,2.0,7.0,2.0,4.0,2.0,97.0,23.0,1464.0,0.4421052631578947,0.45,-3,0,1,0,0,0,0
1,4,0,1,1,0,1,3,4.0,2.0,3.0,3.0,3.0,3.0,94.0,6.0,639.0,0.4479166666666667,0.47619047619047616,1,0,1,0,0,0,0
1,3,0,1,1,0,1,3,4.0,3.0,3.0,2.0,1.0,2.0,76.0,-29.0,-640.0,0.4536082474226804,0.5,2,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0.0,2.0,2.0,1.0,1.0,1.0,52.0,-33.0,-2497.0,0.45918367346938777,0.5217391304347826,3,1,1,0,0,0,0
1,2,0,1,1,0,1,3,2.0,1.0,4.0,3.0,1.0,3.0,95.0,18.0,1354.0,0.45454545454545453,0.5,-1,0,1,0,0,0,0
0,0,0,0,0,1,0,1,3.0,3.0,2.0,3.0,1.0,3.0,81.0,3.0,-467.0,0.46,1.0,1,0,1,0,0,0,0
1,2,0,0,1,0,1,2,6.0,4.0,2.0,2.0,2.0,2.0,80.0,-15.0,-558.0,0.45544554455445546,0.5,-1,0,1,0,0,0,0
1,0,0,1,1,0,1,3,0.0,2.0,3.0,1.0,1.0,1.0,92.0,-4.0,-736.0,0.46078431372549017,0.6666666666666666,1,0,1,0,0,0,0
0,0,0,0,0,1,0,1,1.0,3.0,4.0,2.0,1.0,2.0,73.0,-18.0,-803.0,0.46601941747572817,0.5,2,0,1,0,0,0,0
0,2,0,1,1,0,0,2,3.0,5.0,2.0,6.0,0.0,2.0,69.0,-36.0,-1997.0,0.46153846153846156,1.0,-1,0,0,0,1,0,0
0,1,0,0,0,0,0,3,4.0,4.0,0.0,3.0,0.0,0.0,103.0,-24.0,-1042.0,0.45714285714285713,0.5,-2,0,0,0,1,0,0
1,2,1,1,1,0,1,0,3.0,2.0,4.0,6.0,1.0,2.0,99.0,-16.0,713.0,0.4528301886792453,0.5,-3,0,0,1,0,0,0
1,4,2,0,1,1,0,3,4.0,0.0,2.0,6.0,1.0,1.0,117.0,11.0,1995.0,0.45794392523364486,1.0,1,0,0,1,0,0,0
1,0,2,1,0,0,1,3,6.0,2.0,2.0,5.0,1.0,2.0,94.0,-6.0,-184.0,0.46296296296296297,0.0,2,0,0,1,0,0,0
