match_id,queue_id,win,champion,role,game_duration,kills_total,deaths_total,assists_total,lane_minions,jungle_minions,vision_score,wards_placed,wards_killed,control_wards_placed,turret_plates,vision_advantage,control_ward_coverage,early_roam_kills,aces_before_15,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_gold,min15_cs,min15_gold_diff,min15_cs_diff,min15_xp_diff
LA2_1525467394,440,1,Blitzcrank,UTILITY,35.95,3,6,18,22,0,93,50,9,6,0,-0.1847049593925476,0.8260723907998722,0,0,0,0,1,1,0,1.0,2.0,5.0,12.0,2.0,2.0,3867.0,12.0,-959.0,-5.0,-1206.0
LA2_1523425377,440,0,Trundle,JUNGLE,40.42,5,4,11,43,208,54,6,19,6,0,1.3690168857574463,0.5636863123079411,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,0.0,5946.0,110.0,953.0,17.0,1210.0
LA2_1500868686,440,0,JarvanIV,JUNGLE,33.1,1,12,13,20,125,32,5,5,5,0,-0.1885856986045837,0.874790040712483,0,0,1,0,0,0,2,0.0,5.0,3.0,2.0,0.0,2.0,4343.0,74.0,-2170.0,-28.0,-1219.0
LA2_1519522839,420,1,Trundle,JUNGLE,25.22,5,4,10,6,127,21,6,2,6,3,-0.221444547176361,0.7207241640264639,0,0,1,1,0,1,3,4.0,3.0,3.0,2.0,1.0,2.0,5853.0,76.0,-104.0,-29.0,-640.0
LA2_1516972727,420,1,Caitlyn,BOTTOM,40.03,26,5,9,289,39,42,20,7,7,3,0.2040302753448486,0.6863345660610245,0,0,0,0,0,0,3,7.0,2.0,0.0,8.0,0.0,3.0,6801.0,100.0,1657.0,-12.0,456.0
LA2_1527006020,440,0,Thresh,UTILITY,25.77,6,10,11,19,0,48,20,6,5,0,0.2743359804153442,0.7084158919305866,0,0,0,0,1,0,2,5.0,4.0,6.0,10.0,1.0,2.0,5164.0,12.0,274.0,-2.0,-266.0
LA2_1554232187,420,1,Elise,UTILITY,33.58,7,6,13,41,12,90,29,12,5,1,0.1897296905517578,0.7716494317708427,0,0,1,1,1,0,3,2.0,2.0,6.0,8.0,1.0,2.0,4598.0,18.0,-38.0,-1.0,-10.0
LA2_1520010420,420,0,Pantheon,JUNGLE,24.22,3,7,3,27,110,20,4,2,4,0,1.657231092453003,0.7473591630415839,0,0,0,0,1,0,1,3.0,3.0,2.0,3.0,1.0,3.0,5729.0,81.0,4.0,3.0,-467.0
LA2_1554156630,420,0,Elise,UTILITY,34.1,7,8,12,34,0,95,36,8,5,1,-0.0528915524482727,0.7592864616994213,0,0,0,1,1,1,0,0.0,2.0,7.0,12.0,2.0,2.0,4354.0,11.0,1106.0,1.0,377.0
LA2_1526439953,440,1,Thresh,UTILITY,27.6,2,2,9,27,0,72,31,9,9,3,0.8919346332550049,0.5887756979144129,0,0,1,1,1,1,3,1.0,0.0,7.0,12.0,3.0,4.0,4552.0,16.0,1073.0,-4.0,-109.0
